Размерность обучающей выборки: (8000, 4)
Размерность тестовой выборки: (2000, 4)
Количество правил: -  243
start gradient descent
Эпоха 1, ошибка: 0.2457025404527844, скорость обучения: 0.1
Эпоха 2, ошибка: 0.24326552237856713, скорость обучения: 0.1
Эпоха 3, ошибка: 0.24699325653135196, скорость обучения: 0.1
Эпоха 4, ошибка: 0.4016775014735625, скорость обучения: 0.1
Эпоха 5, ошибка: 0.38567952235085307, скорость обучения: 0.1
Эпоха 6, ошибка: 0.37423107958373314, скорость обучения: 0.1
Эпоха 7, ошибка: 0.28094664511359646, скорость обучения: 0.09000000000000001
Эпоха 8, ошибка: 0.21968283388965498, скорость обучения: 0.09000000000000001
Эпоха 9, ошибка: 0.17108442932893658, скорость обучения: 0.09000000000000001
Эпоха 10, ошибка: 0.13152789304465626, скорость обучения: 0.09000000000000001
Эпоха 11, ошибка: 0.10039654648827223, скорость обучения: 0.09000000000000001
Эпоха 12, ошибка: 0.07744129472190658, скорость обучения: 0.09000000000000001
Эпоха 13, ошибка: 0.06094789971991789, скорость обучения: 0.09000000000000001
Эпоха 14, ошибка: 0.04905278429061533, скорость обучения: 0.09000000000000001
Эпоха 15, ошибка: 0.04037935897199932, скорость обучения: 0.09000000000000001
Эпоха 16, ошибка: 0.03400463149783087, скорость обучения: 0.09000000000000001
Эпоха 17, ошибка: 0.029270552681267967, скорость обучения: 0.09000000000000001
Эпоха 18, ошибка: 0.025695719650165934, скорость обучения: 0.09000000000000001
Эпоха 19, ошибка: 0.022960258666761147, скорость обучения: 0.09000000000000001
Эпоха 20, ошибка: 0.020849881417116772, скорость обучения: 0.09000000000000001
Эпоха 21, ошибка: 0.01919401908845217, скорость обучения: 0.09000000000000001
Эпоха 22, ошибка: 0.01787270768804371, скорость обучения: 0.09000000000000001
Эпоха 23, ошибка: 0.016800721169424597, скорость обучения: 0.09000000000000001
Эпоха 24, ошибка: 0.015916852601224406, скорость обучения: 0.09000000000000001
Эпоха 25, ошибка: 0.015176645532709315, скорость обучения: 0.09000000000000001
Эпоха 26, ошибка: 0.01454743851437179, скорость обучения: 0.09000000000000001
Эпоха 27, ошибка: 0.0140049635703519, скорость обучения: 0.09000000000000001
Эпоха 28, ошибка: 0.013530992283157043, скорость обучения: 0.09000000000000001
Эпоха 29, ошибка: 0.013111691648355116, скорость обучения: 0.09000000000000001
Эпоха 30, ошибка: 0.012736463861653662, скорость обучения: 0.09000000000000001
Эпоха 31, ошибка: 0.012396084453173424, скорость обучения: 0.09000000000000001
Эпоха 32, ошибка: 0.012085507079455632, скорость обучения: 0.09000000000000001
Эпоха 33, ошибка: 0.011800012106830269, скорость обучения: 0.09000000000000001
Эпоха 34, ошибка: 0.011535487423915629, скорость обучения: 0.09000000000000001
Эпоха 35, ошибка: 0.011288673410430872, скорость обучения: 0.09000000000000001
Эпоха 36, ошибка: 0.011056971356851132, скорость обучения: 0.09000000000000001
Эпоха 37, ошибка: 0.01083829811170341, скорость обучения: 0.09000000000000001
Эпоха 38, ошибка: 0.0106309748528198, скорость обучения: 0.09000000000000001
Эпоха 39, ошибка: 0.010433641324394297, скорость обучения: 0.09000000000000001
Эпоха 40, ошибка: 0.01024518927247194, скорость обучения: 0.09000000000000001
Эпоха 41, ошибка: 0.010064710488377931, скорость обучения: 0.09000000000000001
Эпоха 42, ошибка: 0.009891456059295315, скорость обучения: 0.09000000000000001
Эпоха 43, ошибка: 0.00972480427933076, скорость обучения: 0.09000000000000001
Эпоха 44, ошибка: 0.009564412093455125, скорость обучения: 0.09000000000000001
Эпоха 45, ошибка: 0.009413051139132916, скорость обучения: 0.09000000000000001
Эпоха 46, ошибка: 0.0092653892891271, скорость обучения: 0.09000000000000001
Эпоха 47, ошибка: 0.00912145420688161, скорость обучения: 0.09000000000000001
Эпоха 48, ошибка: 0.008981246170020416, скорость обучения: 0.09000000000000001
Эпоха 49, ошибка: 0.008844744031296554, скорость обучения: 0.09000000000000001
