Эпоха 1, ошибка: 0.040930672778376684, скорость обучения: 0.1
Эпоха 2, ошибка: 0.01743597859831849, скорость обучения: 0.1
Эпоха 3, ошибка: 0.010633893009191955, скорость обучения: 0.1
Эпоха 4, ошибка: 0.007936839490617784, скорость обучения: 0.1
Эпоха 5, ошибка: 0.0073054741397521016, скорость обучения: 0.1
Эпоха 6, ошибка: 0.007219732998379149, скорость обучения: 0.1
Эпоха 7, ошибка: 0.007226287030068277, скорость обучения: 0.1
Эпоха 8, ошибка: 0.007245579842105315, скорость обучения: 0.1
Эпоха 9, ошибка: 0.0072531345019052045, скорость обучения: 0.1
Эпоха 10, ошибка: 0.007253661448877669, скорость обучения: 0.1
Эпоха 11, ошибка: 0.007253315128990873, скорость обучения: 0.09000000000000001
Эпоха 12, ошибка: 0.006378549751533011, скорость обучения: 0.09000000000000001
Эпоха 13, ошибка: 0.006453538035108718, скорость обучения: 0.09000000000000001
Эпоха 14, ошибка: 0.006454140461647184, скорость обучения: 0.09000000000000001
Эпоха 15, ошибка: 0.006454137507574011, скорость обучения: 0.09000000000000001
Эпоха 16, ошибка: 0.006454134064010502, скорость обучения: 0.09000000000000001
Эпоха 17, ошибка: 0.006454132547553322, скорость обучения: 0.08100000000000002
Эпоха 18, ошибка: 0.005814990362003855, скорость обучения: 0.08100000000000002
Эпоха 19, ошибка: 0.005850940514802656, скорость обучения: 0.08100000000000002
Эпоха 20, ошибка: 0.0058518494483591026, скорость обучения: 0.08100000000000002
Эпоха 21, ошибка: 0.005851872241816789, скорость обучения: 0.08100000000000002
Эпоха 22, ошибка: 0.0058518727893097176, скорость обучения: 0.08100000000000002
Эпоха 23, ошибка: 0.005851872790778631, скорость обучения: 0.07290000000000002
Эпоха 24, ошибка: 0.005421112198452784, скорость обучения: 0.07290000000000002
Эпоха 25, ошибка: 0.00541796206142656, скорость обучения: 0.07290000000000002
Эпоха 26, ошибка: 0.005417809866118469, скорость обучения: 0.07290000000000002
Эпоха 27, ошибка: 0.005417802509129351, скорость обучения: 0.07290000000000002
Эпоха 28, ошибка: 0.005417802153171768, скорость обучения: 0.07290000000000002
Эпоха 29, ошибка: 0.0054178021357790766, скорость обучения: 0.07290000000000002
Эпоха 30, ошибка: 0.005417802134838456, скорость обучения: 0.07290000000000002
Эпоха 31, ошибка: 0.005417802134739518, скорость обучения: 0.07290000000000002
Эпоха 32, ошибка: 0.005417802134706528, скорость обучения: 0.07290000000000002
Эпоха 33, ошибка: 0.00541780213468991, скорость обучения: 0.07290000000000002
Эпоха 34, ошибка: 0.005417802134681008, скорость обучения: 0.07290000000000002
Эпоха 35, ошибка: 0.005417802134676173, скорость обучения: 0.07290000000000002
Эпоха 36, ошибка: 0.005417802134673524, скорость обучения: 0.07290000000000002
Эпоха 37, ошибка: 0.005417802134672141, скорость обучения: 0.07290000000000002
Эпоха 38, ошибка: 0.0054178021346716326, скорость обучения: 0.07290000000000002
Эпоха 39, ошибка: 0.005417802134671456, скорость обучения: 0.07290000000000002
Эпоха 40, ошибка: 0.005417802134671097, скорость обучения: 0.07290000000000002
Эпоха 41, ошибка: 0.005417802134671003, скорость обучения: 0.07290000000000002
Эпоха 42, ошибка: 0.005417802134670899, скорость обучения: 0.07290000000000002
Эпоха 43, ошибка: 0.005417802134670952, скорость обучения: 0.07290000000000002
Эпоха 44, ошибка: 0.0054178021346709005, скорость обучения: 0.07290000000000002
Эпоха 45, ошибка: 0.0054178021346710115, скорость обучения: 0.07290000000000002
Эпоха 46, ошибка: 0.0054178021346708745, скорость обучения: 0.07290000000000002
Эпоха 47, ошибка: 0.00541780213467089, скорость обучения: 0.07290000000000002
Эпоха 48, ошибка: 0.005417802134670869, скорость обучения: 0.07290000000000002
Эпоха 49, ошибка: 0.005417802134670949, скорость обучения: 0.07290000000000002
Эпоха 50, ошибка: 0.005417802134670918, скорость обучения: 0.07290000000000002
